,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,208.61,209.13,227.35,238.56,277.28,292.66,292.23,270.18,276.38,331.62,301.54,293.47,307.83
Expenses,173.97,172.78,184.75,195.42,230.31,257.54,267.32,248.86,257.34,309.6,275.74,281.64,291.6
Operating Profit,34.64,36.35,42.6,43.14,46.97,35.12,24.91,21.32,19.04,22.02,25.8,11.83,16.23
OPM %,16.61,17.38,18.74,18.08,16.94,12.0,8.52,7.89,6.89,6.64,8.56,4.03,5.27
Other Income,0.35,0.13,2.04,0.41,0.43,0.1,1.1,0.47,1.35,2.17,3.08,3.78,3.98
Interest,1.8,0.84,1.96,0.82,1.16,1.6,1.38,1.09,1.49,1.52,2.03,2.12,3.93
Depreciation,8.15,8.23,8.64,7.57,8.0,8.35,8.48,7.06,7.12,7.21,7.34,8.78,9.53
Profit before tax,25.04,27.41,34.04,35.16,38.24,25.27,16.15,13.64,11.78,15.46,19.51,4.71,6.75
Tax %,31.63,32.11,37.72,25.51,25.84,24.61,27.74,25.29,22.84,23.35,25.42,6.58,66.81
Net Profit,17.13,18.6,21.2,26.19,28.37,19.05,11.67,10.19,9.09,11.85,14.55,4.39,2.24
EPS in Rs,3.04,3.3,3.77,4.65,5.04,3.38,1.97,1.63,1.46,1.9,2.33,0.7,0.36
