,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,4.9,8.72,9.44,5.09,12.04,18.62,14.7,19.59,21.34,27.7,27.8,23.93,24.38
Expenses,6.83,8.61,9.54,7.51,11.38,12.64,11.08,13.99,15.05,17.13,18.6,16.75,17.21
Operating Profit,-1.93,0.11,-0.1,-2.42,0.66,5.98,3.62,5.6,6.29,10.57,9.2,7.18,7.17
OPM %,-39.39,1.26,-1.06,-47.54,5.48,32.12,24.63,28.59,29.48,38.16,33.09,30.0,29.41
Other Income,0.02,0.13,0.19,0.5,0.08,0.6,0.38,0.15,0.41,0.21,1.87,0.22,0.73
Interest,5.4,5.4,5.92,5.78,5.94,6.42,5.89,5.72,6.12,6.38,6.3,6.22,6.29
Depreciation,3.54,3.54,3.03,1.87,1.87,1.84,1.77,1.78,1.8,1.79,1.86,1.83,1.86
Profit before tax,-10.85,-8.7,-8.86,-9.57,-7.07,-1.68,-3.66,-1.75,-1.22,2.61,2.91,-0.65,-0.25
Tax %,28.29,26.78,24.27,29.78,28.43,29.76,26.23,26.86,12.3,18.77,492.1,-84.62,-272.0
Net Profit,-7.78,-6.37,-6.71,-6.73,-5.06,-1.18,-2.71,-1.28,-1.06,2.13,-11.42,-1.21,-0.93
EPS in Rs,-4.0,-3.27,-3.45,-3.46,-2.6,-0.61,-1.39,-0.66,-0.54,1.09,-5.87,-0.62,-0.48
