,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,550.0,750.0,558.0,585.0,860.0,1197.0
Expenses,413.0,545.0,416.0,426.0,629.0,856.0
Operating Profit,137.0,205.0,142.0,159.0,231.0,341.0
OPM %,25.0,27.0,26.0,27.0,27.0,28.0
Other Income,4.0,1.0,7.0,6.0,6.0,6.0
Interest,22.0,23.0,25.0,12.0,7.0,12.0
Depreciation,23.0,29.0,28.0,36.0,38.0,54.0
Profit before tax,96.0,155.0,96.0,117.0,192.0,280.0
Tax %,39.0,38.0,17.0,26.0,26.0,25.0
Net Profit,58.0,95.0,80.0,86.0,142.0,209.0
EPS in Rs,738.38,1066.26,893.18,965.92,15.9,23.32
