,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,16.46,18.24,16.28,16.28,17.25,12.54,4.87,4.71,4.87,4.36,3.82,3.06,2.80
Expenses,13.9,18.82,19.01,18.51,17.91,13.12,6.62,3.19,2.55,2.79,2.79,2.71,2.61
Operating Profit,2.56,-0.58,-2.73,-2.23,-0.66,-0.58,-1.75,1.52,2.32,1.57,1.03,0.35,0.19
OPM %,15.55,-3.18,-16.77,-13.7,-3.83,-4.63,-35.93,32.27,47.64,36.01,26.96,11.44,6.79
Other Income,-0.02,0.24,-0.23,0.34,0.1,0.36,2.59,0.04,0.25,0.05,0.08,0.07,0.07
Interest,0.03,0.03,0.04,0.2,0.2,0.03,0.18,0.25,0.16,0.07,0.0,0.0,0.00
Depreciation,1.1,1.07,1.09,1.09,0.7,0.65,0.67,1.29,0.22,0.18,0.17,0.16,0.16
Profit before tax,1.41,-1.44,-4.09,-3.18,-1.46,-0.9,-0.01,0.02,2.19,1.37,0.94,0.26,0.10
Tax %,18.44,11.81,0.98,1.57,6.85,0.0,0.0,0.0,-68.95,21.9,14.89,34.62,
Net Profit,1.15,-1.27,-4.05,-3.13,-1.36,-0.9,-0.01,0.02,3.7,1.07,0.8,0.17,0.04
EPS in Rs,1.21,-1.39,-4.82,-3.72,-1.68,-1.11,-0.01,0.02,4.57,1.32,0.99,0.21,0.06
