,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Expenses,0.02,0.03,0.04,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.0
Operating Profit,-0.02,-0.03,-0.04,-0.03,-0.02,-0.03,-0.03,-0.03,-0.03,-0.03,-0.02,-0.02,0.0
OPM %,,,,,,,,,,,,,
Other Income,-0.25,-1.69,0.00,0.00,0.00,0.00,0.00,0.73,0.00,-0.34,0.00,-0.10,0.0
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Profit before tax,-0.27,-1.72,-0.04,-0.03,-0.02,-0.03,-0.03,0.70,-0.03,-0.37,-0.02,-0.12,0.0
Tax %,25.93,25.58,-2525.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Net Profit,-0.21,-1.28,-1.05,-0.03,-0.02,-0.03,-0.03,0.70,-0.03,-0.37,-0.02,-0.12,0.0
EPS in Rs,-0.36,-2.18,-1.78,-0.05,-0.03,-0.05,-0.05,1.19,-0.05,-0.63,-0.03,-0.20,0.0
