,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.34,0.34,0.34,3.22,3.22,3.22,9.95,9.95,9.95,9.95,9.95,9.95,9.95
Reserves,0.39,0.39,0.4,0.33,0.37,0.41,2.14,2.48,2.96,3.26,3.9,4.52,5.04
Borrowings,0.01,0.01,0.01,0.11,0.0,0.0,10.56,23.65,23.45,28.09,28.42,26.72,26.72
Other Liabilities,0.0,0.0,0.01,0.6000000000000001,0.03,1.0,0.61,1.57,3.21,4.3,3.12,2.25,2.18
Total Liabilities,0.74,0.74,0.76,4.26,3.62,4.63,23.26,37.65,39.57,45.6,45.39,43.44,43.89
Fixed Assets,0.0,0.0,0.0,0.05,0.04,0.03,0.71,0.62,0.54,0.52,0.5700000000000001,0.45,0.4
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.25,0.25,0.25,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.49,0.49,0.51,4.06,3.58,4.6,22.55,37.03,39.03,45.08,44.82,42.99,43.49
Total Assets,0.74,0.74,0.76,4.26,3.62,4.63,23.26,37.65,39.57,45.6,45.39,43.44,43.89
