,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,653.0,679.0,746.0,815.0,813.0,791.0,765.0,638.0,613.0,737.0,690.0,682.0,739.0
Expenses,563.0,524.0,618.0,657.0,672.0,661.0,664.0,627.0,587.0,633.0,568.0,534.0,592.0
Operating Profit,91.0,155.0,128.0,159.0,141.0,130.0,100.0,11.0,26.0,104.0,122.0,148.0,147.0
OPM %,14.0,23.0,17.0,19.0,17.0,16.0,13.0,2.0,4.0,14.0,18.0,22.0,20.0
Other Income,6.0,2.0,2.0,4.0,3.0,2.0,10.0,41.0,26.0,13.0,2.0,4.0,9.0
Interest,47.0,45.0,40.0,42.0,41.0,48.0,50.0,69.0,68.0,72.0,48.0,66.0,72.0
Depreciation,39.0,38.0,37.0,38.0,40.0,40.0,40.0,41.0,41.0,41.0,40.0,41.0,41.0
Profit before tax,10.0,75.0,53.0,83.0,63.0,44.0,20.0,-58.0,-57.0,3.0,36.0,44.0,43.0
Tax %,63.0,40.0,29.0,30.0,24.0,38.0,61.0,5.0,40.0,32.0,38.0,34.0,33.0
Net Profit,4.0,45.0,38.0,58.0,48.0,27.0,8.0,-55.0,-34.0,2.0,22.0,29.0,29.0
EPS in Rs,0.39,4.58,3.82,5.86,4.88,2.75,0.82,-5.56,-3.44,0.22,2.27,2.96,2.92
