,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,31237.0,34958.0,40507.0,41358.0,47665.0,50272.0,55764.0,58018.0,56176.0,53151.0,55857.0,52991.0,54169.0
Expenses,27885.0,29904.0,34869.0,35652.0,40107.0,42960.0,48460.0,49589.0,50814.0,49603.0,50530.0,47277.0,48557.0
Operating Profit,3352.0,5054.0,5638.0,5706.0,7558.0,7312.0,7304.0,8429.0,5362.0,3548.0,5327.0,5714.0,5612.0
OPM %,11.0,14.0,14.0,14.0,16.0,15.0,13.0,15.0,10.0,7.0,10.0,11.0,10.0
Other Income,362.0,147.0,223.0,845.0,405.0,436.0,34.0,255.0,330.0,368.0,354.0,381.0,496.0
Interest,982.0,861.0,903.0,820.0,1291.0,852.0,805.0,847.0,879.0,934.0,986.0,992.0,1034.0
Depreciation,1708.0,1655.0,1721.0,1645.0,1640.0,1683.0,1761.0,1749.0,1713.0,1768.0,1856.0,1786.0,1843.0
Profit before tax,1024.0,2685.0,3237.0,4086.0,5032.0,5213.0,4772.0,6088.0,3100.0,1214.0,2839.0,3317.0,3231.0
Tax %,62.0,30.0,40.0,32.0,32.0,30.0,19.0,32.0,29.0,-12.0,15.0,26.0,32.0
Net Profit,387.0,1877.0,1928.0,2787.0,3417.0,3675.0,3851.0,4119.0,2205.0,1362.0,2411.0,2454.0,2196.0
EPS in Rs,1.72,8.35,8.58,12.4,15.21,16.35,17.14,18.33,9.81,6.06,10.73,10.92,9.77
