,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.76,0.76,0.85,10.24,7.67,7.67,7.67,7.67,7.67,7.67
Reserves,10.69,11.5,14.23,15.47,22.42,24.67,27.78,31.47,34.68,38.78
Borrowings,8.92,5.28,5.02,0.8200000000000001,0.18,0.3,0.99,1.24,0.98,0.81
Other Liabilities,4.43,6.3,5.94,6.6,5.95,6.73,6.78,12.23,10.31,11.97
Total Liabilities,24.8,23.84,26.04,33.13,36.22,39.37,43.22,52.61,53.64,59.23
Fixed Assets,0.93,0.92,1.11,1.08,1.0,1.13,1.41,1.72,2.5700000000000003,2.54
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,2.32
Investments,0.28,0.66,0.81,3.24,4.32,4.47,2.79,3.21,2.19,3.79
Other Assets,23.59,22.26,24.12,28.81,30.9,33.77,39.02,47.68,48.49,50.58
Total Assets,24.8,23.84,26.04,33.13,36.22,39.37,43.22,52.61,53.64,59.23
