,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,11.32,12.39,15.44,13.74,18.14,15.94,14.77,14.02,14.43,17.14,17.5,16.4,16.54
Expenses,9.93,10.92,12.63,12.17,15.67,15.05,13.79,13.26,13.67,14.98,15.17,14.04,15.13
Operating Profit,1.39,1.47,2.81,1.57,2.47,0.89,0.98,0.76,0.76,2.16,2.33,2.36,1.41
OPM %,12.28,11.86,18.2,11.43,13.62,5.58,6.64,5.42,5.27,12.6,13.31,14.39,8.52
Other Income,0.0,0.12,-0.23,0.07,0.0,0.05,0.03,0.13,0.0,0.32,0.13,0.11,0.0
Interest,0.07,0.02,0.04,0.08,0.11,0.07,0.07,0.09,0.12,0.11,0.1,0.07,0.05
Depreciation,0.15,0.15,0.15,0.15,0.17,0.19,0.2,0.22,0.22,0.23,0.23,0.23,0.24
Profit before tax,1.17,1.42,2.39,1.41,2.19,0.68,0.74,0.58,0.42,2.14,2.13,2.17,1.12
Tax %,34.19,30.99,23.01,26.95,26.03,27.94,28.38,25.86,30.95,27.1,26.29,25.81,26.79
Net Profit,0.77,0.98,1.84,1.02,1.63,0.5,0.53,0.43,0.29,1.56,1.56,1.61,0.83
EPS in Rs,5.14,6.54,12.28,6.81,10.88,3.34,3.54,2.87,1.94,10.41,10.41,10.74,5.54
