,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,11683.0,12181.0,12433.0,12194.0,13046.0,13439.0,13767.0,14624.0,15144.0,15597.0,15215.0,15496.0,15623.0
Expenses,8758.0,9218.0,9391.0,9273.0,9820.0,10030.0,10466.0,11222.0,11665.0,11903.0,11642.0,11832.0,11828.0
Operating Profit,2925.0,2963.0,3042.0,2921.0,3226.0,3409.0,3301.0,3402.0,3479.0,3694.0,3573.0,3664.0,3795.0
OPM %,25.0,24.0,24.0,24.0,25.0,25.0,24.0,23.0,23.0,24.0,23.0,24.0,24.0
Other Income,10.0,3.0,123.0,39.0,51.0,-7.0,136.0,121.0,80.0,7.0,239.0,146.0,178.0
Interest,31.0,44.0,11.0,13.0,28.0,27.0,38.0,28.0,28.0,29.0,29.0,50.0,88.0
Depreciation,265.0,286.0,266.0,260.0,281.0,272.0,278.0,281.0,272.0,293.0,291.0,286.0,297.0
Profit before tax,2639.0,2636.0,2888.0,2687.0,2968.0,3103.0,3121.0,3214.0,3259.0,3379.0,3492.0,3474.0,3588.0
Tax %,25.0,26.0,24.0,22.0,26.0,26.0,26.0,26.0,18.0,27.0,26.0,26.0,26.0
Net Profit,1974.0,1938.0,2190.0,2100.0,2185.0,2300.0,2307.0,2391.0,2670.0,2481.0,2601.0,2556.0,2657.0
EPS in Rs,8.4,8.24,9.3,8.92,9.28,9.78,9.81,10.13,11.34,10.53,11.07,10.87,11.3
