,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,490.0,522.0,592.0,425.0,494.0,585.0,592.0,634.0,572.0,589.0,661.0,701.0,612.0
Expenses,492.0,513.0,568.0,414.0,484.0,646.0,686.0,741.0,647.0,575.0,607.0,610.0,534.0
Operating Profit,-1.0,9.0,24.0,11.0,9.0,-61.0,-94.0,-107.0,-75.0,14.0,54.0,91.0,78.0
OPM %,-0.0,2.0,4.0,3.0,2.0,-10.0,-16.0,-17.0,-13.0,2.0,8.0,13.0,13.0
Other Income,3.0,2.0,5.0,3.0,14.0,2.0,7.0,3.0,4.0,4.0,3.0,22.0,10.0
Interest,53.0,52.0,50.0,52.0,52.0,13.0,4.0,3.0,8.0,2.0,15.0,3.0,0.0
Depreciation,34.0,32.0,35.0,30.0,30.0,30.0,29.0,30.0,28.0,25.0,23.0,23.0,23.0
Profit before tax,-86.0,-73.0,-54.0,-68.0,-58.0,-102.0,-121.0,-137.0,-107.0,-8.0,19.0,87.0,65.0
Tax %,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Net Profit,-86.0,-73.0,-54.0,-68.0,-58.0,-102.0,-121.0,-137.0,-107.0,-8.0,19.0,87.0,65.0
EPS in Rs,-9.56,-8.18,-6.08,-7.54,-6.5,-11.39,-13.49,-15.35,-11.95,-0.85,2.09,9.72,7.25
