,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,17,17,17,17,17,17,18,18,18,18,18,18,18
Reserves,1140,983,749,495,505,377,129,-39,-143,-450,-784,-1016,-864
Borrowings,2058,2697,2561,2697,2602,2568,2530,2391,2445,2255,2225,2264,2264
Other Liabilities,627,711,646,662,595,623,638,809,863,1187,1484,1578,1493
Total Liabilities,3843,4408,3974,3870,3720,3586,3315,3179,3184,3010,2942,2844,2911
Fixed Assets,1393,2687,2505,2307,2424,2294,2146,2037,1926,1775,1682,1631,1586
CWIP,1157,148,146,121,75,100,125,110,87,86,83,24,24
Investments,181,181,145,233,108,36,36,2,2,1,1,1,1
Other Assets,1112,1392,1178,1210,1113,1155,1008,1030,1169,1148,1176,1187,1299
Total Assets,3843,4408,3974,3870,3720,3586,3315,3179,3184,3010,2942,2844,2911
