,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9.11,9.11,9.11,9.11,9.11,9.11,9.11,9.11,9.11,9.11,9.11,9.11,9.11
Reserves,2.95,3.15,3.4,3.49,3.51,3.48,3.23,3.1,2.36,0.89,0.18,0.96,0.91
Borrowings,0.0,3.05,2.14,1.95,1.76,1.85,2.22,2.14,2.02,2.41,2.39,2.64,3.91
Other Liabilities,2.41,2.3,2.59,2.58,2.48,1.45,1.7000000000000002,2.0,1.86,1.66,2.03,2.39,2.71
Total Liabilities,14.47,17.61,17.24,17.13,16.86,15.89,16.26,16.35,15.35,14.07,13.71,15.1,16.64
Fixed Assets,8.98,12.67,13.21,12.8,12.29,12.96,14.22,13.66,13.37,12.88,12.44,12.64,13.26
CWIP,0.13,0.0,0.0,0.84,1.18,0.66,0.0,0.0,0.0,0.0,0.16,0.36,0.63
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,5.36,4.94,4.03,3.49,3.39,2.27,2.04,2.69,1.98,1.19,1.11,2.1,2.75
Total Assets,14.47,17.61,17.24,17.13,16.86,15.89,16.26,16.35,15.35,14.07,13.71,15.1,16.64
