,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.0,0.25,0.38,0.81,1.09,49.22,0.53,0.02,0.03,0.04,0.00,0.0
Expenses,0.0,0.0,0.23,0.38,0.97,1.07,48.86,0.76,0.24,0.35,0.38,0.18,0.14
Operating Profit,0.0,0.0,0.02,0.00,-0.16,0.02,0.36,-0.23,-0.22,-0.32,-0.34,-0.18,-0.14
OPM %,,,8.0,0.00,-19.75,1.83,0.73,-43.4,-1100.0,-1066.67,-850.0,,
Other Income,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.48,-0.78,0.01,0.0,0.01,0.01
Interest,0.0,0.0,0.01,0.00,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.00,0.0
Depreciation,0.0,0.0,0.0,0.00,0.0,0.0,0.11,0.24,0.17,0.0,0.01,0.01,0.01
Profit before tax,0.0,0.0,0.01,0.00,-0.16,0.02,0.03,0.01,-1.17,-0.31,-0.35,-0.18,-0.14
Tax %,,,0.0,,0.0,0.0,33.33,200.0,0.0,0.0,0.0,0.00,
Net Profit,0.0,0.0,0.01,0.00,-0.16,0.01,0.01,0.0,-1.17,-0.31,-0.35,-0.18,-0.14
EPS in Rs,0.0,0.0,0.42,0.00,-0.71,0.04,0.04,0.0,-5.22,-1.38,-1.56,-0.80,-0.62
