,2015-06-01,2015-09-01,2015-12-01,2016-03-01,2016-06-01,2016-09-01,2016-12-01,2017-03-01,2017-06-01,2017-09-01,2017-12-01,2018-03-01,2018-06-01
Sales,1083.0,1330.0,1117.0,1418.0,1039.0,844.0,795.0,998.0,749.0,686.0,851.0,1218.0,807.0
Expenses,849.0,881.0,986.0,1461.0,809.0,681.0,632.0,733.0,577.0,508.0,592.0,1037.0,827.0
Operating Profit,234.0,449.0,130.0,-43.0,230.0,163.0,163.0,265.0,172.0,178.0,259.0,181.0,-20.0
OPM %,22.0,34.0,12.0,-3.0,22.0,19.0,21.0,27.0,23.0,26.0,30.0,15.0,-2.0
Other Income,18.0,13.0,156.0,142.0,144.0,285.0,224.0,114.0,248.0,334.0,229.0,394.0,229.0
Interest,281.0,279.0,316.0,336.0,331.0,367.0,349.0,331.0,380.0,422.0,409.0,430.0,489.0
Depreciation,2.0,2.0,2.0,2.0,2.0,2.0,3.0,7.0,6.0,6.0,5.0,6.0,5.0
Profit before tax,-32.0,180.0,-32.0,-239.0,40.0,79.0,36.0,41.0,35.0,85.0,73.0,139.0,-285.0
Tax %,42.0,41.0,40.0,31.0,55.0,28.0,-55.0,-159.0,29.0,29.0,17.0,24.0,13.0
Net Profit,-19.0,106.0,-19.0,-165.0,18.0,57.0,56.0,106.0,25.0,60.0,60.0,107.0,-248.0
EPS in Rs,-0.57,3.21,-0.59,-5.02,0.54,1.73,1.69,3.22,0.75,1.83,1.83,3.24,-7.54
