,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.00,0.00,0.04,0.09,0.09,0.09,0.00,0.00,0.00,0.0
Expenses,0.08,0.05,0.14,0.25,0.2,0.22,0.26,0.2,0.09,0.15,0.06,0.07
Operating Profit,-0.08,-0.05,-0.14,-0.25,-0.16,-0.13,-0.17,-0.11,-0.09,-0.15,-0.06,-0.07
OPM %,,,,,-400.0,-144.44,-188.89,-122.22,,,,
Other Income,0.10,-0.18,0.24,0.74,0.37,0.32,0.58,-0.08,0.00,0.06,0.00,0.0
Interest,0.00,0.01,0.00,0.01,0.07,0.02,0.03,0.03,0.00,0.00,0.00,0.0
Depreciation,0.00,0.06,0.06,0.06,0.07,0.08,0.05,0.05,0.00,0.00,0.00,0.0
Profit before tax,0.02,-0.30,0.04,0.42,0.07,0.09,0.33,-0.27,-0.09,-0.09,-0.06,-0.07
Tax %,0.00,0.00,0.00,19.05,14.29,11.11,15.15,-3.7,0.00,0.00,100.00,
Net Profit,0.02,-0.30,0.04,0.35,0.06,0.07,0.28,-0.29,-0.09,-0.09,0.00,-0.02
EPS in Rs,0.07,-1.00,0.13,1.17,0.2,0.23,0.92,-0.96,-0.30,-0.30,0.00,-0.06
