,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,45.82,66.62,76.0,62.68,66.25,71.95,71.84,79.1,85.35,82.54,76.32,76.24,77.74
Expenses,39.27,55.93,65.63,51.25,60.0,65.49,62.87,70.56,78.81,76.85,71.22,72.23,72.49
Operating Profit,6.55,10.69,10.37,11.43,6.25,6.46,8.97,8.54,6.54,5.69,5.1,4.01,5.25
OPM %,14.3,16.05,13.64,18.24,9.43,8.98,12.49,10.8,7.66,6.89,6.68,5.26,6.75
Other Income,0.48,0.0,0.39,0.15,0.2,0.53,1.41,0.94,0.87,1.28,0.25,1.29,0.29
Interest,1.36,1.93,2.09,2.44,2.37,2.74,2.46,2.42,2.57,2.81,3.08,3.06,2.77
Depreciation,3.09,3.16,3.19,3.47,3.55,3.61,3.71,3.79,3.93,4.0,4.23,4.16,4.32
Profit before tax,2.58,5.6,5.48,5.67,0.53,0.64,4.21,3.27,0.91,0.16,-1.96,-1.92,-1.55
Tax %,28.29,25.71,25.36,28.57,45.28,31.25,18.53,29.97,15.38,62.5,28.57,36.46,-29.68
Net Profit,1.86,4.17,4.09,4.05,0.29,0.44,3.44,2.29,0.77,0.06,-1.4,-1.22,-2.01
EPS in Rs,1.47,3.29,3.23,3.2,0.23,0.35,2.71,1.81,0.61,0.05,-1.1,-0.96,-1.59
