,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,10,10,10,10,10,10,10,10,10,10,10,10
Reserves,39,41,42,45,52,63,71,71,61,65,81,108,113
Borrowings,4,4,4,4,0,14,78,143,99,122,157,120,90
Other Liabilities,38,36,35,34,42,47,88,50,49,106,122,145,108
Total Liabilities,91,91,91,93,105,134,247,275,220,304,371,384,321
Fixed Assets,16,16,15,15,16,35,41,59,84,79,77,73,73
CWIP,1,0,0,0,1,2,17,26,0,0,0,2,1
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,74,75,75,78,88,96,188,189,136,224,293,309,247
Total Assets,91,91,91,93,105,134,247,275,220,304,371,384,321
