,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.28,11.23,13.39,22.27,12.94,8.48,5.99,13.09,11.28
Expenses,8.35,10.44,12.45,21.26,11.41,9.55,7.88,14.22,13.09
Operating Profit,-1.07,0.79,0.94,1.01,1.53,-1.07,-1.89,-1.13,-1.81
OPM %,-14.7,7.03,7.02,4.54,11.82,-12.62,-31.55,-8.63,-16.05
Other Income,2.13,0.18,0.59,0.87,0.8,0.28,3.51,0.47,-0.40
Interest,0.47,0.46,0.8,1.13,1.8,1.42,1.04,2.27,2.36
Depreciation,0.11,0.2,0.21,0.22,0.21,0.2,0.07,0.03,0.02
Profit before tax,0.48,0.31,0.52,0.53,0.32,-2.41,0.51,-2.96,-4.59
Tax %,22.92,48.39,42.31,33.96,34.38,2.49,88.24,2.03,
Net Profit,0.37,0.16,0.3,0.35,0.21,-2.35,0.06,-2.9,-4.54
EPS in Rs,3.7,1.6,3.0,3.5,2.1,-23.5,0.6,-29.0,-45.40
