,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,135,135,135,135,135,135,135,135,135,135,135,135,135
Reserves,-76,-72,-61,-80,-60,-37,-15,-3,7,13,-62,-43,-77
Borrowings,24,43,12,15,40,147,204,205,214,216,216,184,181
Other Liabilities,174,147,193,188,211,177,172,241,263,211,310,282,226
Total Liabilities,257,253,279,258,327,422,496,577,618,575,600,558,466
Fixed Assets,96,90,81,102,96,193,228,218,288,273,254,242,234
CWIP,1,2,23,2,56,1,11,58,11,3,2,1,2
Investments,0,0,0,0,0,0,0,1,1,0,0,0,0
Other Assets,160,161,175,154,175,227,258,301,319,299,343,315,230
Total Assets,257,253,279,258,327,422,496,577,618,575,600,558,466
