,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Revenue,10059.0,10027.0,8899.0,9626.0,9483.0,9930.0,9849.0,10166.0,10728.0,11836.0,12255.0,13050.0,13764.0
Interest,5912.0,5711.0,5569.0,5630.0,5392.0,5530.0,5578.0,5620.0,6026.0,6335.0,6736.0,7346.0,8003.0
Expenses,5101.0,4807.0,4231.0,5046.0,5385.0,5302.0,5143.0,4922.0,5098.0,5860.0,6202.0,5161.0,5150.0
Financing Profit,-953.0,-491.0,-902.0,-1050.0,-1293.0,-901.0,-872.0,-376.0,-396.0,-359.0,-683.0,543.0,611.0
Financing Margin %,-9.0,-5.0,-10.0,-11.0,-14.0,-9.0,-9.0,-4.0,-4.0,-3.0,-6.0,4.0,4.0
Other Income,1684.0,1291.0,1663.0,1927.0,2030.0,1715.0,1707.0,1732.0,1987.0,1926.0,2161.0,1871.0,2166.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,730.0,800.0,761.0,876.0,737.0,814.0,835.0,1356.0,1590.0,1567.0,1477.0,2415.0,2777.0
Tax %,42.0,34.0,-121.0,-36.0,-49.0,13.0,-19.0,10.0,22.0,10.0,1.0,29.0,28.0
Net Profit,458.0,535.0,1726.0,1260.0,1127.0,733.0,1025.0,1311.0,1288.0,1455.0,1520.0,1850.0,2069.0
EPS in Rs,4.05,4.74,15.28,10.12,9.04,5.87,8.22,10.53,10.34,11.68,12.2,14.85,16.61
Gross NPA %,9.9,9.05,9.86,9.7,9.57,9.13,8.47,8.13,7.3,6.53,5.95,5.47,4.97
Net NPA %,2.96,2.35,3.37,3.47,3.26,2.72,2.27,2.12,1.5,1.0,0.9,0.7,0.6
