,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,361.0,377.0,394.0,443.0,508.0,532.0,570.0,572.0,596
Expenses,337.0,346.0,352.0,402.0,447.0,475.0,544.0,557.0,575
Operating Profit,24.0,31.0,42.0,41.0,61.0,57.0,26.0,15.0,21
OPM %,7.0,8.0,11.0,9.0,12.0,11.0,5.0,3.0,4
Other Income,18.0,15.0,15.0,17.0,-13.0,18.0,19.0,5.0,8
Interest,6.0,5.0,5.0,12.0,17.0,13.0,11.0,11.0,13
Depreciation,8.0,8.0,9.0,11.0,12.0,13.0,13.0,17.0,18
Profit before tax,28.0,33.0,43.0,35.0,18.0,50.0,21.0,-8.0,-3
Tax %,53.0,36.0,29.0,25.0,43.0,35.0,36.0,0.0,
Net Profit,13.0,21.0,31.0,27.0,10.0,33.0,13.0,-8.0,-3
EPS in Rs,18.89,25.57,29.79,24.56,1.88,40.51,10.59,-7.59,0.06
