,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,334.0,334.0,278.0,265.0,284.0,278.0,341.0,314.0,294.0,281.0,285.0,299.0,313.0
Expenses,99.0,117.0,457.0,168.0,86.0,134.0,1112.0,90.0,82.0,97.0,52.0,95.0,111.0
Operating Profit,235.0,217.0,-179.0,97.0,198.0,143.0,-772.0,224.0,212.0,184.0,233.0,204.0,202.0
OPM %,70.0,65.0,-64.0,37.0,70.0,52.0,-227.0,71.0,72.0,65.0,82.0,68.0,65.0
Other Income,6.0,1.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Interest,186.0,179.0,159.0,139.0,137.0,125.0,139.0,148.0,146.0,135.0,150.0,154.0,165.0
Depreciation,9.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0
Profit before tax,45.0,31.0,-346.0,-49.0,53.0,20.0,-920.0,66.0,56.0,39.0,77.0,42.0,30.0
Tax %,30.0,21.0,8.0,25.0,26.0,26.0,18.0,8.0,8.0,5.0,2.0,7.0,17.0
Net Profit,32.0,24.0,-317.0,-37.0,39.0,15.0,-754.0,61.0,52.0,37.0,76.0,39.0,25.0
EPS in Rs,2.57,1.96,-25.63,-2.97,3.18,1.07,-55.38,4.48,3.79,2.69,5.58,2.86,1.82
