,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,2.61,3.08,2.95,2.7,2.88,3.03,3.1,4.95,5.52,6.46,0.18,5.31,6.01
Expenses,19.16,1.27,48.18,18.28,1.21,1.45,38.09,1.21,-14.89,-24.22,8.35,2.22,3.14
Operating Profit,-16.55,1.81,-45.23,-15.58,1.67,1.58,-34.99,3.74,20.41,30.68,-8.17,3.09,2.87
OPM %,-634.1,58.77,-1533.22,-577.04,57.99,52.15,-1128.71,75.56,369.75,474.92,-4538.89,58.19,47.75
Other Income,0.0,2.35,0.06,0.11,0.09,12.23,71.74,1.46,0.09,3.22,1.89,0.13,0.01
Interest,0.02,0.02,0.08,0.06,0.07,0.06,0.05,0.04,0.03,0.03,0.04,0.14,0.13
Depreciation,0.14,0.15,0.27,0.24,0.24,0.24,0.26,0.23,0.23,0.24,0.26,0.32,0.33
Profit before tax,-16.71,3.99,-45.52,-15.77,1.45,13.51,36.44,4.93,20.24,33.63,-6.58,2.76,2.42
Tax %,0.0,0.0,0.02,-1.14,0.69,0.0,-0.05,0.2,4.5,18.88,-13.37,27.17,36.78
Net Profit,-16.7,3.99,-45.51,-15.96,1.45,13.5,36.47,4.92,19.32,27.28,-7.46,1.99,1.52
EPS in Rs,-6.76,2.32,-19.76,-6.75,0.98,3.7,16.46,2.18,8.75,11.88,-2.88,1.08,0.9
