,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,13,13,13,13,21,21,21,21,21,21,20,30,30
Reserves,169,200,234,279,388,444,527,641,710,798,847,886,969
Borrowings,159,211,258,322,206,237,114,305,191,100,54,163,183
Other Liabilities,180,209,287,308,322,277,338,388,372,505,473,615,546
Total Liabilities,520,632,791,921,936,978,1000,1355,1293,1424,1394,1694,1727
Fixed Assets,51,140,170,205,194,185,232,240,239,239,253,262,298
CWIP,92,45,54,38,51,58,17,19,39,59,91,123,124
Investments,0,0,11,11,11,11,16,12,10,12,13,15,17
Other Assets,377,447,556,667,680,725,735,1084,1004,1115,1037,1293,1288
Total Assets,520,632,791,921,936,978,1000,1355,1293,1424,1394,1694,1727
