,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.13,0.19,0.06,0.12,0.28,0.04,-0.10,-0.46,0.26,0.11,0.19,0.3,0.22
Expenses,0.04,0.03,0.04,0.02,0.05,0.04,0.08,0.03,0.04,0.03,0.31,0.08,0.03
Operating Profit,0.09,0.16,0.02,0.1,0.23,0.00,-0.18,-0.49,0.22,0.08,-0.12,0.22,0.19
OPM %,69.23,84.21,33.33,83.33,82.14,0.00,,,84.62,72.73,-63.16,73.33,86.36
Other Income,0.0,0.0,0.01,0.0,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0
Interest,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0
Profit before tax,0.09,0.16,0.03,0.1,0.23,0.00,-0.18,-0.49,0.22,0.08,-0.12,0.22,0.19
Tax %,0.0,0.0,100.0,10.0,30.43,,0.00,0.00,0.0,0.0,0.0,0.0,5.26
Net Profit,0.09,0.16,-0.01,0.09,0.17,0.01,-0.17,-0.49,0.22,0.08,-0.12,0.22,0.18
EPS in Rs,0.19,0.34,-0.02,0.19,0.36,0.02,-0.36,-1.04,0.47,0.17,-0.26,0.47,0.38
