,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,2,2,2,2,2,2,2,2,2,2,2,2
Reserves,88,91,91,90,89,94,92,95,92,87,92,99,109
Borrowings,9,7,3,13,35,35,28,23,26,14,9,13,22
Other Liabilities,44,35,29,31,25,32,36,41,39,39,46,55,73
Total Liabilities,143,136,125,136,152,164,158,161,160,142,149,169,206
Fixed Assets,32,32,29,28,39,50,47,44,45,42,39,39,46
CWIP,4,0,1,1,6,1,0,0,0,0,0,4,3
Investments,16,21,22,26,25,31,25,22,18,15,11,11,9
Other Assets,91,82,73,81,82,83,86,95,96,86,98,115,148
Total Assets,143,136,125,136,152,164,158,161,160,142,149,169,206
