,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,21.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
Reserves,142.97,86.48,86.27,96.49,91.58,92.1,96.64,90.48,87.31,101.08,115.45,124.76,127.33
Borrowings,48.32,34.91,22.89,37.22,31.28,33.63,25.88,32.4,8.66,34.4,30.11,32.48,30.42
Other Liabilities,60.41,73.16,29.81,29.8,35.96,39.89,30.44,14.56,29.53,36.97,45.1,36.02,94.14
Total Liabilities,272.7,278.55,222.97,247.51,242.82,249.62,236.96,221.44,209.5,256.45,274.66,277.26,335.89
Fixed Assets,14.09,13.95,12.85,11.67,11.11,18.26,19.6,21.36,18.73,16.58,13.8,13.12,10.43
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,24.86,13.84,17.41,15.58,13.58,1.0,3.39,1.71,1.03,1.41,1.67,1.48,2.45
Other Assets,233.75,250.76,192.71,220.26,218.13,230.36,213.97,198.37,189.74,238.46,259.19,262.66,323.01
Total Assets,272.7,278.55,222.97,247.51,242.82,249.62,236.96,221.44,209.5,256.45,274.66,277.26,335.89
