,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,355.0,432.0,470.0,321.0,385.0,413.0,470.0,472.0,571.0,471.0,530.0,478.0,584.0
Expenses,321.0,388.0,414.0,303.0,355.0,376.0,428.0,432.0,513.0,433.0,480.0,443.0,524.0
Operating Profit,34.0,44.0,56.0,18.0,30.0,37.0,42.0,40.0,58.0,38.0,50.0,34.0,60.0
OPM %,9.0,10.0,12.0,6.0,8.0,9.0,9.0,8.0,10.0,8.0,10.0,7.0,10.0
Other Income,1.0,1.0,1.0,1.0,3.0,2.0,-3.0,-1.0,2.0,2.0,2.0,11.0,2.0
Interest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Depreciation,22.0,21.0,20.0,19.0,18.0,17.0,17.0,17.0,18.0,19.0,19.0,19.0,20.0
Profit before tax,12.0,23.0,36.0,-1.0,14.0,21.0,21.0,21.0,41.0,20.0,32.0,25.0,42.0
Tax %,27.0,28.0,26.0,6.0,26.0,26.0,27.0,26.0,27.0,23.0,18.0,25.0,27.0
Net Profit,9.0,17.0,27.0,-1.0,11.0,16.0,15.0,16.0,30.0,15.0,26.0,19.0,30.0
EPS in Rs,0.33,0.65,1.04,-0.05,0.39,0.59,0.58,0.58,1.14,0.59,1.03,0.7,1.11
