,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1077.0,993.0,936.0,831.0,688.0,485.0,364.0,286.0,221.0,400.0,443.0,507.0,530
Expenses,1078.0,966.0,935.0,843.0,706.0,572.0,407.0,339.0,287.0,388.0,456.0,502.0,515
Operating Profit,-1.0,28.0,1.0,-11.0,-18.0,-87.0,-44.0,-53.0,-67.0,11.0,-13.0,6.0,15
OPM %,-0.0,3.0,0.0,-1.0,-3.0,-18.0,-12.0,-18.0,-30.0,3.0,-3.0,1.0,3
Other Income,76.0,19.0,3.0,-0.0,5.0,34.0,33.0,68.0,76.0,33.0,52.0,42.0,39
Interest,22.0,23.0,29.0,31.0,41.0,49.0,55.0,73.0,42.0,30.0,29.0,31.0,29
Depreciation,25.0,18.0,18.0,12.0,13.0,13.0,12.0,10.0,10.0,9.0,10.0,10.0,10
Profit before tax,28.0,7.0,-43.0,-56.0,-67.0,-114.0,-78.0,-67.0,-42.0,5.0,1.0,7.0,16
Tax %,-23.0,24.0,-6.0,23.0,2.0,-0.0,5.0,2.0,-18.0,0.0,6.0,0.0,
Net Profit,35.0,5.0,-45.0,-43.0,-66.0,-116.0,-75.0,-66.0,-45.0,5.0,0.0,7.0,15
EPS in Rs,7.61,1.12,-9.83,-9.33,-14.25,-25.09,-16.16,-14.29,-9.66,1.06,0.1,1.54,3.34
