,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1356.0,1522.0,1703.0,1770.0,2079.0,2283.0,2304.0,2363.0,2097.0,1289.0,1616.0,1856.0,1861
Expenses,1059.0,1235.0,1336.0,1323.0,1489.0,1643.0,1721.0,1829.0,1665.0,1061.0,1256.0,1602.0,1629
Operating Profit,296.0,286.0,366.0,446.0,590.0,640.0,583.0,534.0,433.0,228.0,360.0,254.0,232
OPM %,22.0,19.0,22.0,25.0,28.0,28.0,25.0,23.0,21.0,18.0,22.0,14.0,12
Other Income,46.0,125.0,53.0,112.0,94.0,41.0,47.0,41.0,32.0,42.0,73.0,145.0,153
Interest,16.0,31.0,35.0,37.0,55.0,35.0,27.0,26.0,33.0,34.0,31.0,39.0,34
Depreciation,71.0,126.0,79.0,104.0,122.0,129.0,136.0,128.0,146.0,129.0,119.0,107.0,106
Profit before tax,256.0,255.0,306.0,418.0,508.0,517.0,467.0,421.0,286.0,107.0,282.0,253.0,245
Tax %,30.0,0.0,26.0,26.0,31.0,32.0,33.0,35.0,2.0,27.0,23.0,22.0,
Net Profit,178.0,255.0,226.0,308.0,351.0,349.0,311.0,274.0,281.0,78.0,217.0,197.0,191
EPS in Rs,5.64,7.69,6.92,9.42,10.73,10.63,9.63,8.79,9.72,3.19,8.44,7.58,8.05
