,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.66,8.41,8.41,8.41,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.51,8.51
Reserves,9.05,6.07,6.14,6.21,6.28,6.35,6.41,6.43,6.45,6.46,6.47,6.49,0.65
Borrowings,0.04,0.77,0.77,0.77,0.77,0.77,0.85,0.85,0.0,0.02,0.81,0.89,0.09
Other Liabilities,0.65,3.34,0.1,0.1,0.16,0.28,0.37,0.45,0.46,0.58,0.66,0.86,0.09
Total Liabilities,14.4,18.59,15.42,15.49,15.72,15.91,16.14,16.24,15.42,15.57,16.45,16.75,1.6800000000000002
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.5700000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,13.83,17.99,14.82,14.89,15.12,15.31,15.54,16.24,15.42,15.57,16.45,16.75,1.6800000000000002
Total Assets,14.4,18.59,15.42,15.49,15.72,15.91,16.14,16.24,15.42,15.57,16.45,16.75,1.6800000000000002
