,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.12,0.12,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Expenses,0.14,0.18,0.07,0.08,0.08,0.07,0.12,0.12,0.06,0.13,0.16,0.17,0.16
Operating Profit,-0.02,-0.06,0.06,0.06,0.06,0.07,0.02,0.02,0.08,0.01,-0.02,-0.03,-0.02
OPM %,-16.67,-50.0,46.15,42.86,42.86,50.0,14.29,14.29,57.14,7.14,-14.29,-21.43,-14.29
Other Income,0.11,0.13,0.05,0.08,0.1,0.05,0.07,0.02,0.1,0.11,0.09,0.15,0.14
Interest,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
Depreciation,0.0,0.0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Profit before tax,0.09,0.07,0.08,0.12,0.14,0.1,0.07,0.02,0.16,0.1,0.06,0.11,0.11
Tax %,0.0,28.57,100.0,33.33,28.57,50.0,-28.57,50.0,-6.25,0.0,-50.0,36.36,36.36
Net Profit,0.09,0.05,0.01,0.08,0.08,0.04,0.08,0.01,0.17,0.1,0.08,0.07,0.07
EPS in Rs,0.3,0.17,0.03,0.27,0.27,0.13,0.27,0.03,0.57,0.33,0.27,0.23,0.23
