,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,816.0,1069.0,1038.0,893.0,1116.0,1211.0,1176.0,1255.0,1301.0,1332.0,1270.0,1335.0,1369.0
Expenses,600.0,789.0,787.0,681.0,829.0,894.0,902.0,962.0,990.0,1045.0,1052.0,1100.0,1091.0
Operating Profit,216.0,280.0,251.0,212.0,287.0,317.0,274.0,293.0,312.0,286.0,218.0,235.0,277.0
OPM %,26.0,26.0,24.0,24.0,26.0,26.0,23.0,23.0,24.0,22.0,17.0,18.0,20.0
Other Income,31.0,16.0,13.0,11.0,8.0,11.0,12.0,11.0,27.0,10.0,20.0,9.0,42.0
Interest,42.0,41.0,38.0,42.0,42.0,45.0,46.0,47.0,50.0,52.0,53.0,54.0,57.0
Depreciation,105.0,90.0,88.0,91.0,93.0,103.0,106.0,107.0,115.0,133.0,132.0,136.0,142.0
Profit before tax,101.0,165.0,138.0,90.0,161.0,179.0,134.0,149.0,174.0,111.0,53.0,54.0,121.0
Tax %,25.0,25.0,24.0,23.0,25.0,26.0,28.0,25.0,25.0,28.0,47.0,47.0,19.0
Net Profit,76.0,124.0,105.0,69.0,120.0,133.0,96.0,113.0,132.0,80.0,29.0,29.0,97.0
EPS in Rs,1.15,1.88,1.6,1.05,1.82,2.03,1.47,1.71,1.99,1.22,0.43,0.44,1.47
