,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10.02,10.02,10.02,10.02,10.02,10.02,10.02,10.02,10.02,10.02
Reserves,0.65,-0.17,0.99,0.63,0.6000000000000001,-0.18,0.21,4.01,7.4,10.81
Borrowings,0.21,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.04,0.04
Other Liabilities,0.18,0.04,0.1,0.06,0.05,0.04,0.02,4.53,7.51,8.44
Total Liabilities,11.06,9.89,11.11,10.71,11.28,9.88,10.25,18.56,24.97,29.31
Fixed Assets,1.15,1.17,1.1,0.96,0.84,0.77,0.63,1.25,1.07,1.03
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,5.39,3.91,5.69,4.93,2.94,0.03,0.09,7.39,10.62,19.05
Other Assets,4.52,4.8100000000000005,4.32,4.82,7.5,9.08,9.53,9.92,13.28,9.23
Total Assets,11.06,9.89,11.11,10.71,11.28,9.88,10.25,18.56,24.97,29.31
