,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,230.0,272.0,335.0,412.0,450.0,453.0,502.0,625.0,652.0,549.0,816.0,1119.0,1283
Expenses,202.0,252.0,303.0,370.0,417.0,425.0,455.0,556.0,572.0,481.0,704.0,952.0,1064
Operating Profit,28.0,20.0,32.0,42.0,33.0,28.0,47.0,69.0,80.0,68.0,113.0,168.0,220
OPM %,12.0,7.0,9.0,10.0,7.0,6.0,9.0,11.0,12.0,12.0,14.0,15.0,17
Other Income,2.0,1.0,3.0,2.0,4.0,5.0,5.0,3.0,6.0,19.0,15.0,20.0,24
Interest,11.0,15.0,16.0,18.0,18.0,17.0,15.0,18.0,33.0,30.0,30.0,31.0,26
Depreciation,7.0,9.0,8.0,12.0,11.0,12.0,12.0,13.0,48.0,46.0,45.0,49.0,57
Profit before tax,12.0,-3.0,11.0,14.0,8.0,4.0,25.0,40.0,5.0,11.0,52.0,108.0,161
Tax %,39.0,-1.0,18.0,37.0,47.0,48.0,28.0,38.0,139.0,34.0,29.0,28.0,
Net Profit,7.0,-3.0,9.0,9.0,4.0,2.0,18.0,25.0,-2.0,7.0,37.0,77.0,118
EPS in Rs,6.15,-2.84,8.61,8.74,4.83,1.76,14.27,17.43,-0.46,4.45,25.08,42.75,71.66
