,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,-0.08,-0.94,-0.04,0.06,0.16,0.75,0.33,2.11,17.68,9.0,7.23,7.83,1.44
Expenses,0.03,0.02,0.05,0.09,0.12,0.75,0.22,1.82,15.53,7.6,5.21,6.3,0.71
Operating Profit,-0.11,-0.96,-0.09,-0.03,0.04,0.00,0.11,0.29,2.15,1.4,2.02,1.53,0.73
OPM %,,,,-50.0,25.0,0.00,33.33,13.74,12.16,15.56,27.94,19.54,50.69
Other Income,0.01,0.03,0.00,0.01,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.07,0.14
Interest,0.00,0.03,0.00,0.0,0.0,0.00,0.0,0.0,0.27,0.79,1.02,0.61,0.29
Depreciation,0.03,0.03,0.03,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,-0.13,-0.99,-0.12,-0.02,0.04,0.00,0.11,0.29,1.88,0.61,1.0,0.99,0.58
Tax %,-7.69,0.00,0.00,0.0,25.0,,18.18,24.14,27.13,29.51,25.0,37.37,
Net Profit,-0.14,-0.99,-0.12,-0.02,0.03,0.00,0.09,0.22,1.37,0.43,0.75,0.62,0.40
EPS in Rs,-0.47,-3.30,-0.40,-0.07,0.1,0.00,0.3,0.73,4.57,1.43,2.5,2.07,1.34
