,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,357.24,398.86,409.99,403.59,437.05,419.76,409.66,409.75,393.74,410.92,395.48,424.37,436.54
Expenses,327.94,361.41,371.96,395.69,444.83,417.22,401.27,412.34,387.94,412.47,400.36,425.7,437.38
Operating Profit,29.3,37.45,38.03,7.9,-7.78,2.54,8.39,-2.59,5.8,-1.55,-4.88,-1.33,-0.84
OPM %,8.2,9.39,9.28,1.96,-1.78,0.61,2.05,-0.63,1.47,-0.38,-1.23,-0.31,-0.19
Other Income,4.73,2.5,5.53,0.72,1.91,-0.85,1.36,0.96,1.44,2.31,1.98,1.31,0.94
Interest,0.36,0.37,0.42,0.46,0.46,0.5,0.47,0.53,0.52,0.52,0.52,0.53,0.75
Depreciation,0.58,0.61,0.64,0.62,0.69,0.81,0.91,0.91,0.97,1.21,1.27,1.02,1.05
Profit before tax,33.09,38.97,42.5,7.54,-7.02,0.38,8.37,-3.07,5.75,-0.97,-4.69,-1.57,-1.7
Tax %,23.87,24.79,24.89,25.99,25.36,81.58,26.52,25.08,25.91,24.74,23.45,33.76,16.47
Net Profit,25.19,29.31,31.91,5.58,-5.24,0.08,6.16,-2.3,4.25,-0.73,-3.59,-1.05,-1.42
EPS in Rs,78.72,91.59,99.72,17.44,-16.38,0.25,19.25,-7.19,13.28,-2.28,-11.22,-3.28,-4.44
