,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.78,3.78,3.78,8.36,8.36,8.36,10.05,10.05,10.05,10.05,10.05,10.05,10.05
Reserves,0.07,-0.71,-0.67,-1.05,-0.68,0.07,1.71,2.43,2.54,2.66,2.96,3.53,3.76
Borrowings,0.03,0.03,0.03,0.27,0.02,0.0,14.52,16.03,11.3,5.44,1.21,12.72,17.44
Other Liabilities,0.2,0.16,0.24,0.29,0.31,0.42,0.67,0.81,0.53,0.77,0.25,1.05,1.01
Total Liabilities,4.08,3.26,3.38,7.87,8.01,8.85,26.95,29.32,24.42,18.92,14.47,27.35,32.26
Fixed Assets,0.05,0.04,0.13,0.11,0.1,0.08,0.06,0.05,0.04,0.03,0.02,0.01,0.01
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,4.03,3.22,3.25,7.76,7.91,8.77,26.89,29.27,24.38,18.89,14.45,27.34,32.25
Total Assets,4.08,3.26,3.38,7.87,8.01,8.85,26.95,29.32,24.42,18.92,14.47,27.35,32.26
