,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,104.0,26.0,15.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
Expenses,92.0,21.0,22.0,7.0,56.0,5.0,1.0,10.0,6.0,3.0,2.0,2.0,3
Operating Profit,11.0,5.0,-8.0,-1.0,-56.0,-5.0,-1.0,-9.0,-6.0,-1.0,-1.0,-2.0,-3
OPM %,11.0,19.0,-53.0,-15.0,-9756.0,-1682.0,-281.0,-4264.0,-3394.0,-30.0,-993.0,-1317.0,-2750
Other Income,0.0,0.0,0.0,1.0,1.0,1.0,0.0,26.0,0.0,6.0,3.0,17.0,20
Interest,7.0,7.0,6.0,7.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Profit before tax,5.0,-2.0,-14.0,-7.0,-55.0,-4.0,-1.0,17.0,-6.0,5.0,1.0,16.0,16
Tax %,33.0,-1.0,0.0,2.0,0.0,1.0,10.0,-36.0,2.0,86.0,54.0,1.0,
Net Profit,3.0,-2.0,-14.0,-7.0,-55.0,-4.0,-1.0,22.0,-6.0,1.0,0.0,15.0,17
EPS in Rs,1.57,-1.03,-4.03,-2.11,-15.81,-1.12,-0.3,6.49,-1.78,0.18,0.12,4.46,4.88
