,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,12,12,12,12,12,12,12,12,12,12,62,62,62
Reserves,213,242,278,307,286,362,387,418,434,421,417,486,556
Borrowings,15,14,12,11,29,41,48,93,91,50,82,66,65
Other Liabilities,45,56,68,79,96,98,109,122,99,100,183,204,199
Total Liabilities,285,324,371,410,424,513,557,646,637,582,743,817,882
Fixed Assets,43,44,43,54,60,65,70,82,83,82,86,101,105
CWIP,1,1,0,4,3,7,9,2,3,1,1,1,2
Investments,32,122,167,178,161,205,230,236,195,131,146,158,178
Other Assets,209,159,161,174,200,236,248,325,356,368,510,557,598
Total Assets,285,324,371,410,424,513,557,646,637,582,743,817,882
