,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.03,0.02,0.02,0.01,0.00,0.00,0.00,0.0,0.29,0.05,0.24,0.05,0.05
Expenses,0.06,0.06,0.06,0.14,0.17,0.09,0.10,0.13,0.44,0.17,0.35,0.25,0.28
Operating Profit,-0.03,-0.04,-0.04,-0.13,-0.17,-0.09,-0.10,-0.13,-0.15,-0.12,-0.11,-0.2,-0.23
OPM %,-100.0,-200.0,-200.0,-1300.0,,,,-1200.0,-51.72,-240.0,-45.83,-400.0,-460.00
Other Income,0.0,0.0,0.04,0.0,0.13,0.00,0.06,0.01,0.0,0.0,0.0,0.0,0.00
Interest,0.01,0.28,0.0,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,-0.06,-0.34,-0.02,-0.16,-0.07,-0.12,-0.07,-0.12,-0.15,-0.12,-0.11,-0.2,-0.23
Tax %,-50.0,0.0,0.0,0.0,0.00,-8.33,28.57,0.0,46.67,25.0,27.27,25.0,
Net Profit,-0.09,-0.34,-0.02,-0.15,-0.07,-0.13,-0.04,-0.12,-0.08,-0.09,-0.08,-0.15,-0.18
EPS in Rs,-0.08,-0.31,-0.02,-0.14,-0.06,-0.12,-0.04,-0.11,-0.07,-0.08,-0.07,-0.14,-0.17
