,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,18.07,20.33,19.93,19.62,23.57,34.43,36.61,33.45,30.7,29.97,45.48,36.56,41.2
Expenses,15.11,17.31,19.61,18.71,19.92,33.66,31.57,30.03,26.75,25.99,39.26,30.38,32.58
Operating Profit,2.96,3.02,0.32,0.91,3.65,0.77,5.04,3.42,3.95,3.98,6.22,6.18,8.62
OPM %,16.38,14.85,1.61,4.64,15.49,2.24,13.77,10.22,12.87,13.28,13.68,16.9,20.92
Other Income,0.42,0.37,1.51,1.05,0.17,1.31,0.38,0.97,0.24,0.69,1.02,0.56,0.49
Interest,0.18,0.12,0.16,0.13,0.12,0.24,0.71,0.67,1.75,1.29,1.21,1.5,1.51
Depreciation,0.5,0.5,0.5,0.44,0.7,0.2,1.13,0.82,0.89,0.93,0.91,0.71,0.82
Profit before tax,2.7,2.77,1.17,1.39,3.0,1.64,3.58,2.9,1.55,2.45,5.12,4.53,6.78
Tax %,18.52,21.3,40.17,47.48,14.0,62.8,36.03,40.0,-25.16,30.61,43.16,32.67,24.93
Net Profit,2.21,2.18,0.71,0.72,2.58,0.61,2.3,1.74,1.94,1.71,2.9,3.06,5.09
EPS in Rs,1.34,1.43,0.46,0.76,1.39,0.72,1.86,1.34,1.56,1.52,2.28,2.16,2.95
