,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,13,13,13,13,13,13,13,13,13,13,13,13,13
Reserves,217,246,270,283,309,413,449,481,482,576,646,782,806
Borrowings,12,6,0,0,0,0,1,1,28,40,1,1,1
Other Liabilities,241,216,187,200,181,170,273,254,252,296,365,333,374
Total Liabilities,483,481,470,496,503,596,736,748,775,924,1025,1130,1194
Fixed Assets,91,102,114,97,82,79,75,122,207,175,229,223,219
CWIP,2,0,0,1,1,37,68,64,9,8,11,24,39
Investments,103,113,121,115,155,218,199,196,138,223,205,246,298
Other Assets,288,266,235,283,266,261,395,366,422,518,579,637,637
Total Assets,483,481,470,496,503,596,736,748,775,924,1025,1130,1194
