,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,384.0,436.0,468.0,544.0,614.0,630.0,630.0,689.0,634.0,403.0,508.0,775.0,820
Expenses,371.0,440.0,465.0,527.0,590.0,606.0,591.0,637.0,597.0,394.0,492.0,721.0,752
Operating Profit,13.0,-4.0,3.0,17.0,25.0,24.0,39.0,51.0,37.0,9.0,17.0,54.0,68
OPM %,3.0,-1.0,1.0,3.0,4.0,4.0,6.0,7.0,6.0,2.0,3.0,7.0,8
Other Income,2.0,0.0,1.0,8.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,7
Interest,7.0,7.0,9.0,10.0,11.0,12.0,10.0,12.0,10.0,9.0,4.0,4.0,4
Depreciation,7.0,8.0,9.0,11.0,12.0,12.0,17.0,18.0,19.0,18.0,18.0,17.0,17
Profit before tax,2.0,-19.0,-13.0,4.0,7.0,2.0,15.0,23.0,9.0,-18.0,-5.0,35.0,54
Tax %,16.0,28.0,12.0,-15.0,28.0,33.0,34.0,33.0,50.0,20.0,0.0,30.0,
Net Profit,1.0,-13.0,-12.0,5.0,5.0,2.0,10.0,15.0,4.0,-15.0,-5.0,24.0,40
EPS in Rs,0.13,-1.32,-1.15,0.49,0.52,0.15,0.98,1.52,0.43,-1.46,-0.47,2.44,4.00
