,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,2,2,2,2,2,12,18,18,18,18,18,18
Reserves,7,8,10,12,14,18,15,36,37,41,68,77,79
Borrowings,24,27,27,37,48,45,49,122,163,168,164,184,314
Other Liabilities,1,1,2,2,6,6,9,14,25,22,31,33,40
Total Liabilities,33,38,41,53,70,72,84,189,242,249,280,311,451
Fixed Assets,0,27,25,35,51,48,52,50,158,149,144,137,151
CWIP,25,0,2,2,0,0,1,83,0,0,0,25,165
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,8,11,14,16,19,23,31,56,83,99,135,148,135
Total Assets,33,38,41,53,70,72,84,189,242,249,280,311,451
