,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.7,0.86,0.88,1.03,1.6,1.19,1.53,0.65,0.59,0.69,0.59
Expenses,1.03,0.71,0.65,0.97,0.88,1.12,0.95,0.35,0.42,0.62,0.65
Operating Profit,0.67,0.15,0.23,0.06,0.72,0.07,0.58,0.3,0.17,0.07,-0.06
OPM %,39.41,17.44,26.14,5.83,45.0,5.88,37.91,46.15,28.81,10.14,-10.17
Other Income,-0.0,-0.0,0.15,0.09,-0.0,-0.0,-0.0,0.03,0.16,0.24,0.54
Interest,-0.0,-0.0,0.01,0.04,0.03,-0.0,0.03,0.03,0.05,0.03,0.02
Depreciation,0.01,0.02,0.02,0.03,0.03,0.04,0.22,0.19,0.17,0.17,0.16
Profit before tax,0.66,0.13,0.35,0.08,0.66,0.03,0.33,0.11,0.11,0.11,0.30
Tax %,30.3,23.08,22.86,12.5,25.76,33.33,21.21,18.18,27.27,27.27,
Net Profit,0.45,0.1,0.26,0.07,0.49,0.02,0.26,0.09,0.08,0.08,1.01
EPS in Rs,0.56,0.12,0.32,0.26,0.49,0.01,0.17,0.06,0.05,0.05,0.65
