,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.05,0.05,0.07,0.09,0.47,0.37,0.49,0.65,0.5,0.52,0.43,0.62,0.37
Expenses,0.05,0.04,0.07,0.08,0.67,0.32,0.43,0.54,0.48,0.38,0.34,0.38,0.37
Operating Profit,0.00,0.01,0.00,0.01,-0.20,0.05,0.06,0.11,0.02,0.14,0.09,0.24,-0.00
OPM %,0.00,20.00,0.00,11.11,-42.55,13.51,12.24,16.92,4.0,26.92,20.93,38.71,-0.00
Other Income,0.00,0.00,0.01,0.01,0.28,0.0,-0.01,-0.02,0.0,0.0,-4.14,0.0,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.00
Profit before tax,0.00,0.01,0.01,0.02,0.08,0.05,0.05,0.08,0.01,0.13,-4.06,0.23,-0.00
Tax %,,0.00,0.00,50.00,25.00,60.0,20.0,87.5,100.0,30.77,-0.99,26.09,
Net Profit,0.00,0.00,0.00,0.01,0.07,0.01,0.03,0.01,0.0,0.1,-4.09,0.17,-0.00
EPS in Rs,,,,,,0.01,0.03,0.01,0.0,0.1,-4.11,0.17,-0.00
