,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.01,0.0,0.00,0.00,0.00,0.00
Expenses,0.05,0.06,0.21,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.22,0.08,0.09
Operating Profit,-0.05,-0.06,-0.21,-0.06,-0.06,-0.07,-0.07,-0.06,-0.07,-0.06,-0.22,-0.08,-0.09
OPM %,,,,,,,,-600.0,,,,,
Other Income,0.19,0.06,0.14,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.12
Interest,0.01,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Depreciation,0.06,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04
Profit before tax,0.07,-0.06,-0.11,0.01,0.01,0.0,0.0,0.02,0.0,0.01,-0.14,-0.01,-0.01
Tax %,0.00,-16.67,-63.64,0.00,0.00,,,50.0,,0.00,-28.57,0.00,0.00
Net Profit,0.07,-0.07,-0.18,0.01,0.02,0.01,-0.01,0.01,0.01,0.01,-0.18,0.00,0.00
EPS in Rs,0.07,-0.07,-0.17,0.01,0.02,0.01,-0.01,0.01,0.01,0.01,-0.17,0.00,0.00
