,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,9.05
Expenses,0.05,0.05,0.10,0.07,0.08,0.14,0.07,0.08,0.08,0.08,0.08,0.39,9.05
Operating Profit,-0.05,-0.05,-0.10,-0.07,-0.08,-0.14,-0.07,-0.08,-0.08,-0.08,-0.08,-0.27,0.00
OPM %,,,,,,,,,,,,-225.0,0.00
Other Income,-0.02,0.03,0.66,0.10,0.11,0.13,0.00,0.00,0.00,0.00,0.00,0.01,0.33
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.01
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.02
Profit before tax,-0.07,-0.02,0.56,0.03,0.03,-0.01,-0.07,-0.08,-0.08,-0.08,-0.08,-0.26,0.30
Tax %,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.0,
Net Profit,-0.07,-0.02,0.56,0.03,0.02,-0.01,-0.07,-0.08,-0.08,-0.08,-0.08,-0.26,0.30
EPS in Rs,-0.15,-0.04,1.21,0.07,0.43,-0.22,-1.52,-1.74,-1.74,-1.74,-1.74,-0.76,0.87
