,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,6776.0,11514.0,9307.0,4904.0,2316.0,2321.0,2256.0,1511.0,545.0,763.0,708.0,214.0,-210
Expenses,6787.0,11503.0,9338.0,4931.0,2346.0,2340.0,1743.0,1532.0,581.0,797.0,729.0,277.0,-180
Operating Profit,-11.0,11.0,-31.0,-27.0,-30.0,-19.0,513.0,-21.0,-36.0,-34.0,-21.0,-63.0,-30
OPM %,-0.0,0.0,-0.0,-1.0,-1.0,-1.0,23.0,-1.0,-7.0,-4.0,-3.0,-29.0,
Other Income,17.0,-10.0,-834.0,-20.0,-129.0,0.0,27.0,12.0,1896.0,52.0,44.0,83.0,86
Interest,48.0,51.0,56.0,48.0,50.0,53.0,57.0,112.0,10.0,-7.0,7.0,0.0,1
Depreciation,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Profit before tax,-44.0,-52.0,-922.0,-96.0,-210.0,-74.0,481.0,-122.0,1849.0,24.0,15.0,18.0,54
Tax %,-1.0,-1.0,35.0,-0.0,-0.0,-0.0,75.0,-0.0,15.0,-314.0,34.0,21.0,3
Net Profit,-45.0,-52.0,-597.0,-96.0,-211.0,-74.0,118.0,-122.0,1577.0,98.0,10.0,15.0,52
EPS in Rs,-0.3,-0.35,-3.98,-0.64,-1.4,-0.49,0.79,-0.81,10.51,0.65,0.07,0.1,0.35
