,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
Reserves,-16.49,-18.59,-21.23,-22.01,-22.82,-24.65,-24.98,-28.61,-29.5,-32.72,-32.88,-32.9,-32.89
Borrowings,8.75,13.4,11.21,4.35,4.34,3.06,3.21,0.0,0.0,0.0,0.0,0.0,3.74
Other Liabilities,2.51,2.73,1.24,0.03,0.49,0.53,0.51,3.44,2.83,2.8200000000000003,3.42,3.56,0.01
Total Liabilities,30.77,33.54,27.22,18.37,18.01,14.94,14.74,10.83,9.33,6.1,6.54,6.66,6.86
Fixed Assets,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,19.57,15.31,6.72,10.81,10.27,7.46,7.42,4.1,3.28,1.42,0.0,0.0,0.0
Other Assets,11.11,18.15,20.42,7.49,7.67,7.41,7.25,6.66,5.98,4.62,6.48,6.6,6.8
Total Assets,30.77,33.54,27.22,18.37,18.01,14.94,14.74,10.83,9.33,6.1,6.54,6.66,6.86
