,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1944.0,2109.0,1679.0,1128.0,1099.0,1041.0,986.0,990.0,856.0,861.0,1174.0,1165.0,1030
Expenses,1664.0,1742.0,1355.0,928.0,918.0,864.0,895.0,906.0,784.0,760.0,946.0,1019.0,908
Operating Profit,280.0,367.0,324.0,200.0,181.0,176.0,91.0,85.0,72.0,101.0,228.0,146.0,121
OPM %,14.0,17.0,19.0,18.0,16.0,17.0,9.0,9.0,8.0,12.0,19.0,13.0,12
Other Income,-15.0,-22.0,6.0,4.0,4.0,5.0,96.0,66.0,63.0,33.0,60.0,77.0,70
Interest,59.0,55.0,37.0,28.0,21.0,17.0,18.0,10.0,6.0,6.0,10.0,15.0,14
Depreciation,83.0,105.0,93.0,62.0,60.0,48.0,44.0,44.0,42.0,32.0,25.0,21.0,15
Profit before tax,123.0,184.0,200.0,113.0,104.0,116.0,126.0,97.0,88.0,96.0,254.0,187.0,163
Tax %,4.0,8.0,4.0,8.0,10.0,13.0,24.0,22.0,30.0,33.0,27.0,42.0,
Net Profit,118.0,169.0,191.0,104.0,94.0,101.0,96.0,75.0,61.0,65.0,186.0,108.0,116
EPS in Rs,18.16,25.99,29.21,15.79,14.24,15.36,14.48,11.16,8.95,9.11,27.95,16.31,17.38
