,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,269.0,359.0,346.0,271.0,309.0,303.0
Expenses,242.0,325.0,318.0,258.0,280.0,269.0
Operating Profit,26.0,34.0,28.0,13.0,28.0,33.0
OPM %,10.0,10.0,8.0,5.0,9.0,11.0
Other Income,2.0,0.0,1.0,1.0,0.0,5.0
Interest,10.0,12.0,13.0,15.0,14.0,19.0
Depreciation,6.0,6.0,7.0,8.0,8.0,7.0
Profit before tax,12.0,17.0,8.0,-9.0,6.0,13.0
Tax %,26.0,25.0,19.0,28.0,17.0,22.0
Net Profit,9.0,12.0,7.0,-7.0,5.0,10.0
EPS in Rs,5.09,7.01,3.68,-3.52,2.72,5.46
