,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,5.52,11.96,10.94,14.05,6.91,12.8,6.39,15.93,12.4,21.06,15.8,23.01,15.52
Expenses,3.35,9.59,8.6,11.54,5.24,10.37,4.79,12.98,10.0,16.49,9.86,18.52,10.98
Operating Profit,2.17,2.37,2.34,2.51,1.67,2.43,1.6,2.95,2.4,4.57,5.94,4.49,4.54
OPM %,39.31,19.82,21.39,17.86,24.17,18.98,25.04,18.52,19.35,21.7,37.59,19.51,29.25
Other Income,0.01,-0.01,0.01,0.04,0.0,0.0,0.0,0.01,0.02,0.03,-0.04,0.01,0.01
Interest,0.27,0.22,0.24,0.29,0.34,0.3,0.3,0.33,0.36,0.37,0.37,0.52,0.36
Depreciation,0.2,0.2,0.2,0.19,0.25,0.22,0.22,0.48,0.06,0.28,0.28,0.28,0.28
Profit before tax,1.71,1.94,1.91,2.07,1.08,1.91,1.08,2.15,2.0,3.95,5.25,3.7,3.91
Tax %,8.77,12.89,29.32,15.46,22.22,18.85,7.41,14.42,19.0,18.23,16.19,25.68,23.27
Net Profit,1.57,1.69,1.34,1.74,0.85,1.54,1.0,1.84,1.62,3.22,4.39,2.75,3.0
EPS in Rs,1.43,1.54,1.22,1.58,0.77,1.4,0.91,1.68,1.48,2.93,4.0,2.5,2.73
