,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,53770.0,65696.0,71815.0,57463.0,39647.0,43208.0,48451.0,62062.0,51002.0,31959.0,69758.0,108856.0,92361
Expenses,52156.0,65393.0,70808.0,59551.0,37859.0,38493.0,44139.0,60382.0,53524.0,31251.0,64814.0,102329.0,84377
Operating Profit,1615.0,303.0,1007.0,-2088.0,1789.0,4714.0,4311.0,1681.0,-2522.0,708.0,4944.0,6528.0,7984
OPM %,3.0,0.0,1.0,-4.0,5.0,11.0,9.0,3.0,-5.0,2.0,7.0,6.0,9
Other Income,346.0,153.0,430.0,838.0,674.0,2015.0,154.0,131.0,97.0,93.0,64.0,196.0,272
Interest,207.0,329.0,321.0,407.0,594.0,520.0,443.0,475.0,749.0,558.0,1212.0,1298.0,1246
Depreciation,434.0,604.0,706.0,499.0,710.0,678.0,671.0,757.0,783.0,1158.0,1088.0,1187.0,1184
Profit before tax,1320.0,-477.0,410.0,-2156.0,1158.0,5531.0,3351.0,581.0,-3958.0,-915.0,2708.0,4239.0,5826
Tax %,31.0,-59.0,-47.0,21.0,1.0,34.0,34.0,43.0,31.0,17.0,-9.0,38.0,
Net Profit,909.0,-757.0,601.0,-1712.0,1147.0,3644.0,2224.0,332.0,-2740.0,-761.0,2955.0,2638.0,3792
EPS in Rs,5.18,-4.32,3.43,-9.77,6.54,20.79,12.69,1.89,-15.64,-4.34,16.86,15.05,21.64
