,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,53.6,54.81,67.0,55.3,92.55,98.66,76.38,65.15,80.04,116.4,129.68,86.08,121.41
Expenses,43.52,49.4,57.9,52.74,87.26,90.09,66.6,61.67,73.59,102.5,118.53,77.22,112.72
Operating Profit,10.08,5.41,9.1,2.56,5.29,8.57,9.78,3.48,6.45,13.9,11.15,8.86,8.69
OPM %,18.81,9.87,13.58,4.63,5.72,8.69,12.8,5.34,8.06,11.94,8.6,10.29,7.16
Other Income,1.04,0.94,1.25,1.0,2.25,1.35,0.9,2.16,2.16,0.33,1.48,1.18,1.84
Interest,2.11,1.96,2.23,1.58,1.56,1.58,1.74,1.76,2.44,2.18,2.24,2.26,2.23
Depreciation,1.92,1.89,1.92,1.75,1.94,2.01,1.9,1.51,1.58,1.52,1.51,1.31,1.56
Profit before tax,7.09,2.5,6.2,0.23,4.04,6.33,7.04,2.37,4.59,10.53,8.88,6.47,6.74
Tax %,7.48,29.6,26.61,78.26,21.29,30.49,31.11,27.43,28.76,21.27,29.84,26.58,26.56
Net Profit,6.56,1.77,4.55,0.05,3.18,4.4,4.84,1.72,3.27,8.28,6.23,4.76,4.95
EPS in Rs,0.53,0.14,0.37,0.0,0.26,0.36,0.39,0.14,0.27,0.68,0.49,0.38,0.39
