,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,26.9,34.33,41.73,19.32,45.85,55.69,51.02,43.71,23.16,37.02,43.09,45.95,38.08
Expenses,25.22,28.57,30.86,13.33,36.89,45.04,45.62,38.56,27.81,43.3,45.37,48.59,39.82
Operating Profit,1.68,5.76,10.87,5.99,8.96,10.65,5.4,5.15,-4.65,-6.28,-2.28,-2.64,-1.74
OPM %,6.25,16.78,26.05,31.0,19.54,19.12,10.58,11.78,-20.08,-16.96,-5.29,-5.75,-4.57
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.84,0.0,1.61,1.44,1.94
Interest,1.04,0.86,1.09,1.14,0.94,0.77,0.56,0.91,1.29,1.73,1.23,1.97,2.05
Depreciation,1.07,1.08,1.1,1.06,1.09,1.09,1.1,1.22,1.24,1.34,1.63,1.78,1.79
Profit before tax,-0.43,3.82,8.68,3.79,6.93,8.79,3.74,3.53,-6.34,-9.35,-3.53,-4.95,-3.64
Tax %,0.0,0.26,28.46,0.26,40.26,26.05,75.67,26.06,0.0,32.73,47.88,29.09,29.12
Net Profit,-0.43,3.81,6.22,3.78,4.14,6.5,0.91,2.61,-6.34,-6.29,-1.84,-3.51,-2.58
EPS in Rs,-0.52,4.59,7.5,4.56,4.99,7.84,1.1,3.15,-7.64,-7.58,-2.22,-4.23,-3.11
