,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65
Reserves,4.47,4.55,4.57,5.66,6.21,6.31,6.77,6.99,7.13,7.24,7.34,7.39,7.41
Borrowings,0.04,0.08,0.06,0.14,0.1,6.61,11.72,69.69,15.89,31.24,34.22,31.95,34.07
Other Liabilities,0.09,0.25,0.28,0.7000000000000001,0.41,0.79,0.61,0.33,0.16,0.51,0.21,0.04,0.05
Total Liabilities,11.25,11.53,11.56,13.15,13.37,20.36,25.75,83.66,29.83,45.64,48.42,46.03,48.18
Fixed Assets,0.27,0.32,0.29,0.39,0.34,0.29,0.47,0.34,0.35,0.26,0.13,0.11,0.1
CWIP,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,10.97,11.2,11.26,12.75,13.03,20.07,25.28,83.32,29.48,45.38,48.29,45.92,48.08
Total Assets,11.25,11.53,11.56,13.15,13.37,20.36,25.75,83.66,29.83,45.64,48.42,46.03,48.18
