,Mar 2011,Sep 2012,Sep 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1715.0,1799.0,1342.0,1399.0,1485.0,1191.0,1344.0,1165.0,1161.0,1469.0,1478.0,1482.0,1539
Expenses,1638.0,1779.0,1398.0,1452.0,1379.0,1022.0,1301.0,1050.0,1109.0,1372.0,1373.0,1405.0,1471
Operating Profit,76.0,21.0,-57.0,-52.0,106.0,169.0,43.0,115.0,52.0,96.0,105.0,77.0,68
OPM %,4.0,1.0,-4.0,-4.0,7.0,14.0,3.0,10.0,4.0,7.0,7.0,5.0,4
Other Income,54.0,-26.0,30.0,9.0,10.0,356.0,27.0,11.0,17.0,92.0,-2.0,2.0,28
Interest,113.0,124.0,91.0,77.0,77.0,51.0,38.0,24.0,27.0,35.0,26.0,28.0,27
Depreciation,79.0,77.0,50.0,61.0,38.0,30.0,24.0,33.0,56.0,48.0,40.0,36.0,35
Profit before tax,-62.0,-206.0,-168.0,-181.0,1.0,443.0,7.0,69.0,-13.0,105.0,38.0,15.0,35
Tax %,-1.0,1.0,-1.0,-0.0,0.0,19.0,-33.0,41.0,-521.0,31.0,31.0,14.0,
Net Profit,-63.0,-204.0,-170.0,-181.0,1.0,359.0,10.0,40.0,-83.0,73.0,26.0,13.0,30
EPS in Rs,-17.95,-58.35,-43.15,-46.37,0.2,91.78,2.49,10.32,-21.19,18.73,6.69,3.36,7.78
