,2012-03-01,2013-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,199,199,199,199,249,224,224,202,202,202,202,202
Reserves,1319,1615,2261,2124,2360,2198,2568,2380,2717,3120,3976,4574
Borrowings,82,81,79,0,0,0,0,0,30,12,6,3
Other Liabilities,22752,23648,28401,16384,16363,16502,17633,17883,21679,25904,24709,22958
Total Liabilities,24352,25544,30940,18707,18971,18925,20425,20465,24628,29237,28893,27736
Fixed Assets,123,126,266,368,546,646,810,836,807,965,1024,1001
CWIP,38,78,40,170,98,85,89,80,80,87,62,72
Investments,6,6,6,6,6,6,6,6,6,6,6,6
Other Assets,24184,25334,30629,18164,18321,18187,19520,19542,23735,28179,27801,26658
Total Assets,24352,25544,30940,18707,18971,18925,20425,20465,24628,29237,28893,27736
