,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,41.5,46.85,40.26,26.25,43.46,43.08,52.21,29.53,51.77,43.31,66.9,51.19,62.71
Expenses,32.1,40.29,35.92,21.96,36.55,36.21,42.98,21.85,46.01,34.7,51.77,42.19,54.27
Operating Profit,9.4,6.56,4.34,4.29,6.91,6.87,9.23,7.68,5.76,8.61,15.13,9.0,8.44
OPM %,22.65,14.0,10.78,16.34,15.9,15.95,17.68,26.01,11.13,19.88,22.62,17.58,13.46
Other Income,0.85,1.07,0.68,0.92,0.76,0.3,1.46,0.07,0.63,1.02,0.61,1.85,1.0
Interest,0.25,0.1,0.16,0.24,0.11,0.21,0.11,0.18,0.19,0.1,0.16,0.19,0.1
Depreciation,0.82,0.82,0.8,0.77,0.74,0.45,0.46,0.46,0.83,0.91,0.95,1.0,1.0
Profit before tax,9.18,6.71,4.06,4.2,6.82,6.51,10.12,7.11,5.37,8.62,14.63,9.66,8.34
Tax %,25.27,25.48,31.77,18.57,24.49,25.96,22.33,22.93,27.19,23.32,27.41,20.39,25.78
Net Profit,6.85,5.0,2.77,3.42,5.15,4.82,7.85,5.5,3.9,6.61,10.63,7.7,6.19
EPS in Rs,17.1,12.48,6.92,8.54,12.86,12.03,19.6,13.73,9.74,16.5,26.54,19.23,15.46
