,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.00,0.00,0.00,0.0,0.00,0.00,0.00,1.52,0.0,0.0,0.00,0.00,0.00
Expenses,0.04,0.04,0.11,0.07,0.08,0.06,0.11,1.52,0.05,0.04,0.05,0.11,0.13
Operating Profit,-0.04,-0.04,-0.11,-0.07,-0.08,-0.06,-0.11,0.0,-0.05,-0.04,-0.05,-0.11,-0.13
OPM %,,,,,,,,0.0,,,,,
Other Income,0.08,0.08,0.06,0.07,0.07,0.07,0.21,0.04,0.05,0.04,0.03,0.04,0.04
Interest,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00
Depreciation,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.00
Profit before tax,0.04,0.04,-0.05,0.0,-0.01,0.01,0.10,0.04,0.0,0.0,-0.03,-0.07,-0.09
Tax %,0.00,0.00,0.00,,0.00,0.00,0.00,0.0,,,0.00,0.00,0.00
Net Profit,0.04,0.03,-0.05,0.0,-0.01,0.01,0.10,0.04,0.0,0.0,-0.03,-0.07,-0.09
EPS in Rs,0.12,0.09,-0.15,0.0,-0.03,0.03,0.30,0.12,0.0,0.0,-0.09,-0.21,-0.27
